tv,emisora,mdp_6_meses,fondos_que_lo_tienen,clase_propuesta,nombre_del_etf
1ISP,PSQ,190.0,3,,
1ISP,IDIN,188.0,1,,
1ISP,SPXS,187.0,2,,
1ISP,EPU,185.0,4,,
1ISP,FLEE,183.0,1,,
1I,LQMHX,183.0,3,,
1I,IJPAX,179.0,6,,
1ISP,VPL,179.0,2,,
1ISP,HSEP,178.0,1,,
1ISP,HMCD,177.0,7,,
1ISP,ESGD,176.0,2,,
1ISP,EWH,175.0,4,,
1ISP,VGIT,169.0,1,,
1ISP,EWW,169.0,6,,
1I,IMEAX,160.0,3,,
1ISP,SXLI,160.0,1,,
1ISP,DGRW,159.0,2,,
1I,ADLM,159.0,3,,
1ISP,IGLT,157.0,9,,
1ISP,SUOA,154.0,1,,
1ISP,FEP,154.0,1,,
1ISP,AIAA,154.0,1,,
1ISP,IDU,153.0,3,,
1ISP,EPHE,152.0,9,,
1ISP,XLP,149.0,5,,
1ISP,FXI,148.0,3,,
1ISP,EWS,147.0,3,,
1I,MEXMX,146.0,1,,
1ISP,SPTR,140.0,1,,
1ISP,PAVEU,140.0,1,,
1ISP,ZAP,140.0,2,,
1ISP,ISAG,140.0,2,,
1ISP,NDUS,139.0,2,,
1ISP,RBOT,132.0,2,,
1ISP,EWM,132.0,2,,
1ISP,IH2O,128.0,1,,
1ISP,IGPT,127.0,2,,
1ISP,C300,127.0,1,,
1I,JHYM,127.0,3,,
1ISP,XHB,126.0,3,,
1ISP,GRDU,125.0,1,,
1ISP,NDIA,124.0,2,,
1ISP,PLAY,123.0,1,,
1ISP,LOCK,123.0,1,,
1ISP,HYLA,122.0,1,,
1ISP,FLOT,121.0,2,,
1ISP,IEVL,121.0,4,,
1ISP,PFF,120.0,2,,
1ISP,EWL,118.0,2,,
1ISP,IBGS,117.0,1,,
1ISP,AAXJ,116.0,2,,
1ISP,CXSE,116.0,1,,
1ISP,GRID,113.0,6,,
1ISP,EPI,113.0,2,,
1ISP,MTAV,112.0,1,,
1ISP,IAUP,111.0,1,,
1ISP,IXG,103.0,1,,
1ISP,QLTA,100.0,1,,
1ISP,XSOE,97.0,3,,
1ISP,EMAD,97.0,1,,
1ISP,PAVE,94.0,4,,
1ISP,EIS,91.0,2,,
1ISP,VB,89.0,1,,
1ISP,XSOE1,87.0,1,,
1ISP,EWQ,84.0,1,,
1ISP,BBLB,84.0,1,,
1ISP,GLDM,83.0,6,,
1ISP,IBB,82.0,1,,
1ISP,OIH,82.0,2,,
1ISP,KURE,82.0,1,,
1ISP,ESGE,81.0,2,,
1ISP,XSMC,81.0,1,,
1ISP,IGIB,81.0,3,,
1ISP,RSPD,80.0,1,,
1ISP,CG1,80.0,1,,
1ISP,ISFD,78.0,1,,
1ISP,HLTH,77.0,1,,
1ISP,CTEC,75.0,2,,
1ISP,FLXI,74.0,1,,
1ISP,EDV,74.0,3,,
1ISP,EWN,73.0,2,,
1ISP,XMJD,69.0,1,,
1ISP,XOP,69.0,3,,
1ISP,SDVY,69.0,8,,
1ISP,ROLL,67.0,2,,
1ISP,VDC,66.0,1,,
1ISP,QAT,64.0,1,,
1ISP,SDG,63.0,1,,
1ISP,TDIV1,62.0,1,,
1ISP,TRLA,61.0,3,,
1ISP,AIQ,60.0,3,,
1ISP,CEMG,59.0,1,,
1ISP,DTCR,57.0,2,,
1ISP,SUSB,54.0,1,,
1ISP,HGER,54.0,1,,
1ISP,OPEN,52.0,1,,
1ISP,CMOD,52.0,1,,
1ISP,AGED,50.0,2,,
1ISP,DFVE,50.0,1,,
1ISP,SGLD,48.0,1,,
1ISP,VIS,48.0,2,,
1ISP,DGRO,47.0,4,,
1ISP,ECH,46.0,3,,
1ISP,IRSAN,45.0,1,,
1ISP,XESP,42.0,1,,
1ISP,WTAI,41.0,1,,
1ISP,ROBO,40.0,1,,
1ISP,XAID,39.0,1,,
1ISP,IXJ,38.0,2,,
1ISP,RTYS,38.0,1,,
1ISP,SPSB,38.0,3,,
1ISP,NXTG,37.0,1,,
1ISP,IOO,37.0,1,,
1ISP,MCEU,37.0,1,,
1ISP,VSCF,36.0,1,,
1ISP,VSGF,36.0,1,,
1ISP,EWSP,35.0,1,,
1ISP,BUG,35.0,1,,
1ISP,VEXC,35.0,3,,
1ISP,WIAU,34.0,1,,
1ISP,BOTZ,34.0,1,,
1ISP,IS3U,34.0,1,,
1ISP,MDYG,33.0,1,,
1ISP,AIRR,32.0,3,,
1ISP,VCR,31.0,1,,
1ISP,BCHN,31.0,1,,
1ISP,ARGT,30.0,1,,
1ISP,ERNX,30.0,1,,
1ISP,ECAR,30.0,1,,
1ISP,EFIV,29.0,1,,
1ISP,CGW,29.0,1,,
1ISP,C40,29.0,1,,
1ISP,EMXC1,28.0,8,,
1ISP,IWD,27.0,1,,
1ISP,FXZ,27.0,1,,
1ISP,NLR,27.0,2,,
1ISP,EWD,27.0,2,,
1ISP,NRJC,27.0,1,,
1ISP,CHIP,26.0,1,,
1ISP,PHO,26.0,1,,
1ISP,CNRG,25.0,1,,
1ISP,IBGE,25.0,1,,
1ISP,SKYY,25.0,1,,
1ISP,DEM,24.0,2,,
1ISP,CMXC,24.0,1,,
1ISP,MXI,24.0,1,,
1ISP,IDNA,24.0,1,,
1ISP,EDEN,22.0,2,,
1ISP,HEZU,21.0,1,,
1ISP,SXRY,21.0,1,,
1ISP,LWCU1,21.0,1,,
1ISP,INRG,21.0,1,,
1ISP,EFA,20.0,1,,
1ISP,BLKC,20.0,1,,
1ISP,EWZS,20.0,1,,
1ISP,VV,19.0,1,,
1ISP,ITB,19.0,1,,
1ISP,AGNG,19.0,1,,
1ISP,EPOL,18.0,2,,
1ISP,DGTL,18.0,1,,
1ISP,URA,18.0,1,,
1ISP,IAEA,17.0,1,,
1ISP,LITM,17.0,1,,
1ISP,SPMO,16.0,1,,
1ISP,FXH,16.0,1,,
1ISP,VAW,15.0,1,,
1ISP,MOO,14.0,1,,
1ISP,ESML,14.0,1,,
1ISP,ENOR,14.0,1,,
1ISP,RNRG,13.0,1,,
1ISP,MGK,13.0,3,,
1ISP,DVY,12.0,1,,
1ISP,EIDO,11.0,1,,
1ISP,LUXU,11.0,1,,
1ISP,VPU,9.0,1,,
1ISP,SHYG,9.0,1,,
1ISP,IYE,9.0,1,,
1ISP,EWP,9.0,6,,
1ISP,IPOL,8.0,1,,
1ISP,EIRL,8.0,1,,
